#F nifilm-tof-1.dat
#D 2011-01-20 19:33:56
#C Title: Simulated 100 A Ni film
#C Detector Angle: (0.3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
1.390105452226732090e-02 1.224458604266838652e-04 5.147471910112360050e-01 2.339979625237202654e-02 4.733242497797691684e+00
1.417907561271266985e-02 1.248947776352175452e-04 5.167427701674277563e-01 2.442280200454531938e-02 4.640433821370285372e+00
1.446265712496692252e-02 1.273926731879218728e-04 5.357423409269441716e-01 2.542277552023498866e-02 4.549444922912044831e+00
1.475191026746626097e-02 1.299405266516803206e-04 4.398467432950191602e-01 2.202944565284932141e-02 4.460240120502004579e+00
1.504694847281558626e-02 1.325393371847139465e-04 4.338905775075987958e-01 2.174303526747034532e-02 4.372784431864710442e+00
1.534788744227189722e-02 1.351901239284082374e-04 4.239663629992992400e-01 2.056854539177220553e-02 4.287043560651676799e+00
1.565484519111733780e-02 1.378939264069764298e-04 4.314350797266514603e-01 1.677360041716212044e-02 4.202983882991839337e+00
1.596794209493968345e-02 1.406518049351159491e-04 4.094304388422035368e-01 1.641353605339957930e-02 4.120572434305724840e+00
1.628730093683847940e-02 1.434648410338182660e-04 3.981964878974845745e-01 1.625550807852583005e-02 4.039776896378161730e+00
1.661304695557524677e-02 1.463341378544946367e-04 3.720491029272898764e-01 1.552465579771516654e-02 3.960565584684472284e+00
1.694530789468675150e-02 1.492608206115845343e-04 3.593827775012444214e-01 1.559407231041256940e-02 3.882907435965169185e+00
1.728421405258048771e-02 1.522460370238162017e-04 3.402150537634408556e-01 1.400401381126526595e-02 3.806771996044282957e+00
1.762989833363209913e-02 1.552909577642925566e-04 3.156664068589243866e-01 1.272209840064006045e-02 3.732129407886552119e+00
1.798249630030474000e-02 1.583967769195783872e-04 3.304140127388535131e-01 1.322856745968541137e-02 3.658950399888776683e+00
1.834214622631083480e-02 1.615647124579699804e-04 3.159821065473769619e-01 1.300400035746961634e-02 3.587206274400761341e+00
1.870898915083705344e-02 1.647960067071293849e-04 3.047775947281713416e-01 1.279780306028643205e-02 3.516868896471334605e+00
1.908316893385379048e-02 1.680919268412719308e-04 3.065371024734982464e-01 1.330038419810836668e-02 3.447910682815034100e+00
1.946483231253087059e-02 1.714537653780973938e-04 2.561349693251533943e-01 1.110705179741692562e-02 3.380304590995130809e+00
1.985412895878149037e-02 1.748828406856593081e-04 2.545644235785080589e-01 9.126815771497530719e-03 3.314024108818755643e+00
2.025121153795711795e-02 1.783804974993725187e-04 2.478189749182115598e-01 9.181812234667182521e-03 3.249043243939956582e+00
2.065623576871625927e-02 1.819481074493599837e-04 2.390393744764032491e-01 9.094422265521415194e-03 3.185336513666624292e+00
2.106936048409058584e-02 1.855870695983472104e-04 2.248040313549831970e-01 8.779698980312044057e-03 3.122878934967278752e+00
2.149074769377239819e-02 1.892988109903141183e-04 2.251157407407407274e-01 8.933149962326799448e-03 3.061646014673802263e+00
2.192056264764784962e-02 1.930847872101204370e-04 2.127566622979467081e-01 7.507416744183102557e-03 3.001613739876276554e+00
2.235897390060080300e-02 1.969464829543227818e-04 1.956708101157308144e-01 7.081030545097195122e-03 2.942758568506153694e+00
2.280615337861282080e-02 2.008854126134093263e-04 1.863312555654496883e-01 7.014972417308113807e-03 2.885057420104072179e+00
2.326227644618508034e-02 2.049031208656775058e-04 1.705648720211827007e-01 6.637393860652428777e-03 2.828487666768698006e+00
2.372752197510878333e-02 2.090011832829910521e-04 1.552780930760499500e-01 6.381538698119158803e-03 2.773027124283037104e+00
2.420207241461095476e-02 2.131812069486509285e-04 1.527480371163454642e-01 6.472548594665948271e-03 2.718654043414742372e+00
2.468611386290317511e-02 2.174448310876238375e-04 1.522371771553292230e-01 5.648445403737375331e-03 2.665347101387002482e+00
2.517983614016124083e-02 2.217937277093763690e-04 1.461818181818181905e-01 5.519402835761398965e-03 2.613085393516668908e+00
2.568343286296446287e-02 2.262296022635638818e-04 1.303186414806334625e-01 5.301474016746366043e-03 2.561848425016342023e+00
2.619710152022375338e-02 2.307541943088351963e-04 1.211882746409600614e-01 5.170225913130107633e-03 2.511616102957197949e+00
2.672104355062823039e-02 2.353692781950118427e-04 1.149124572348561024e-01 5.077728095587692378e-03 2.462368728389409789e+00
2.725546442164079528e-02 2.400766637589121018e-04 1.148197596795727665e-01 4.941066703294174668e-03 2.414086988617068386e+00
2.780057371007360958e-02 2.448781970340903466e-04 1.069802731411229196e-01 4.739517063974999292e-03 2.366751949624577023e+00
2.835658518427508837e-02 2.497757609747722229e-04 1.073786407766990358e-01 4.805110816170600312e-03 2.320345048651545561e+00
2.892371688796058563e-02 2.547712761942676424e-04 9.199451947543550723e-02 4.434281457378135352e-03 2.274848086913280110e+00
2.950219122571980102e-02 2.598667017181530213e-04 9.432469843780898200e-02 4.517928322200206667e-03 2.230243222463999864e+00
3.009223505023419371e-02 2.650640357525160416e-04 8.203902827558741395e-02 4.204296754265465785e-03 2.186512963200000215e+00
3.069407975123887578e-02 2.703653164675663494e-04 7.312614259597806365e-02 4.234704040490327830e-03 2.143640160000000350e+00
3.130796134626365884e-02 2.757726227969176905e-04 6.981177031212770778e-02 4.218407464989800543e-03 2.101608000000000143e+00
3.193412057318893021e-02 2.812880752528560649e-04 6.462752836704489801e-02 4.119701476325679339e-03 2.060400000000000009e+00
3.257280298465271146e-02 2.869138367579131439e-04 5.953582240161452849e-02 3.989148264042766470e-03 2.020000000000000018e+00
